level1,level2,indicator,operational_definition,unit,preferred_data_source,disaggregation,source_problems,origin,coverage,schema_field
Casualties,Deaths,Number of people reported dead,"Extract the reported number of people killed or dead because of the crisis. Preserve the source status such as confirmed, presumed, or unverified.",people,"Official casualty reports, situation reports, health reports, and humanitarian updates",casualty status; sex; age group; location; source,Casualty figures may be incomplete or use different verification standards.,constrained,covered,casualties.killed
Casualties,Injuries,Number of people reported injured,Extract the reported number of people physically injured because of the crisis. Preserve any severity category stated by the source.,people,"Official casualty reports, health reports, situation reports, and humanitarian updates",injury severity; sex; age group; location; source,Injury figures may be incomplete or duplicated across reports.,constrained,covered,casualties.injured
Casualties,Missing persons,Number of people reported missing,Extract the reported number of people missing in connection with the crisis. Preserve whether the figure refers to new reports or active unresolved cases.,people,"Official reports, tracing reports, protection reports, and situation reports",case status; sex; age group; location; source,New missing reports and active cases may be mixed.,constrained,covered,casualties.missing
Protection,Family separation,Number of separated or unaccompanied people reported,"Extract the reported number of people separated from family or caregivers, including unaccompanied or separated children when stated.",people,"Protection reports, child-protection reports, registration data, tracing reports, and assessments",population category; sex; age group; displacement status; location; source,Case counts may not represent all separated people.,constrained,missing,MISSING #644 -> access_and_incidents.family_separation
Impact,Housing damage,Number of houses or dwellings destroyed,"Extract the reported number of houses, homes, dwellings, or residential structures classified as destroyed.",dwellings,"Damage assessments, official reports, remote-sensing reports, shelter reports, and situation reports",dwelling type; cause; location; source,Definitions of destroyed housing vary across sources.,constrained,missing,MISSING #644 -> access_and_incidents.housing.destroyed
Impact,Housing damage,Number of houses or dwellings damaged,"Extract the reported number of houses, homes, dwellings, or residential structures classified as damaged but not destroyed. Preserve any damage-severity category.",dwellings,"Damage assessments, official reports, remote-sensing reports, shelter reports, and situation reports",damage severity; dwelling type; cause; location; source,Damaged and destroyed categories may overlap in some reports.,constrained,missing,MISSING #644 -> access_and_incidents.housing.damaged
Impact,Housing habitability,Number of houses or dwellings reported uninhabitable,Extract the reported number of houses or dwellings that cannot be safely occupied. Do not infer habitability from damage categories unless the source does so.,dwellings,"Shelter assessments, damage assessments, official reports, and situation reports",damage severity; dwelling type; location; source,Uninhabitable housing may overlap with destroyed or severely damaged housing.,constrained,missing,MISSING #644 -> access_and_incidents.housing.uninhabitable
Shelter,Shelter need,Number of displaced people or households reported in need of shelter assistance,Extract the stated number of displaced people or households requiring shelter assistance. Preserve the reported population unit.,people or households,"Shelter assessments, displacement reports, humanitarian needs reports, and situation reports",unit; accommodation type; displacement status; location; source,People and household units are sometimes mixed.,constrained,covered,needs_and_funding.shelter.people_in_need
Shelter,Shelter condition,Number of people or households living in inadequate or unsafe shelter,"Extract the reported number of people or households living in shelter described as inadequate, unsafe, damaged, overcrowded, exposed, or lacking weather protection. Retain the stated condition.",people or households,"Shelter assessments, site reports, displacement assessments, and situation reports",unit; shelter condition; accommodation type; displacement status; location; source,Inadequate shelter is defined differently across documents.,constrained,missing,MISSING #644 -> access_and_incidents.shelter_condition
Humanitarian Access,Access-constrained population,Number of people in hard-to-reach or inaccessible areas,"Extract the reported number of people living in areas described as hard to reach, inaccessible, besieged, isolated, or access constrained.",people,"Humanitarian access reports, situation reports, logistics updates, and protection reports",access classification; location; displacement status; population group; source,Hard-to-reach and inaccessible may represent different levels of constraint.,constrained,missing,MISSING #644 -> access_and_incidents.access_constrained_population
Humanitarian Access,Inaccessible locations,Number of locations inaccessible to humanitarian actors,"Extract the reported number of communities, settlements, sites, or administrative areas inaccessible to humanitarian actors. Preserve the location unit.",locations,"Humanitarian access reports, logistics updates, area coordination reports, and situation reports",location unit; access reason; displacement status of population; source,Different geographic units should not be combined.,constrained,partial,access_and_incidents.access_by_location (status; count MISSING #644)
Humanitarian Access,Access barriers,Reported humanitarian access barrier,"Extract the stated barrier to affected people reaching aid or humanitarian actors reaching affected people, such as insecurity, road damage, checkpoints, administrative restrictions, denial, weather, distance, transport, discrimination, or lack of information.",category,"Access reports, logistics updates, protection reports, rapid assessments, and situation reports",barrier category; direction of access; location; displacement status; source,Access barriers often overlap and use inconsistent terminology.,constrained,missing,MISSING #644 -> access_and_incidents.access_barriers
Humanitarian Access,Physical access,Number of roads or routes reported blocked or impassable,"Extract the reported number of roads, routes, bridges, crossings, or transport links described as blocked, closed, damaged, or impassable. Preserve the infrastructure type.",routes or infrastructure points,"Logistics reports, access maps, infrastructure assessments, official reports, and situation reports",infrastructure type; status; cause; location; source,Routes and individual infrastructure points may be mixed.,constrained,missing,MISSING #644 -> access_and_incidents.routes_blocked
Capacities & Response,Assistance reached,Number of people reached with humanitarian assistance,Extract the reported number of people reached with a specified type of humanitarian assistance during the source reference period. Keep assistance types separate.,people,"Response monitoring, situation reports, cluster reports, distribution reports, and partner updates",assistance type; displacement status; population group; location; provider; source,Reached figures may double-count people receiving several services or rounds.,constrained,covered,needs_and_funding.<sector>.people_reached
Capacities & Response,Response gap,Number of people reported not reached or without assistance,"Extract the reported number of people in need who were not reached, cut off, underserved, or without humanitarian assistance. Preserve the source wording and reason when given.",people,"Humanitarian needs and response reports, access reports, cluster reports, and situation reports",assistance type; reason; displacement status; population group; location; source,"Sources may use not reached, underserved, and without assistance differently.",constrained,missing,MISSING #644 -> needs_and_funding.<sector>.people_not_reached
Impact,Essential services,Number of essential service facilities damaged or non-functional,"Extract the reported number of health facilities, schools, water systems, markets, power facilities, communication facilities, or other essential service sites damaged or not functioning because of the crisis. Preserve the facility type and status.",facilities,"Sector reports, infrastructure assessments, official reports, remote-sensing reports, and situation reports",facility type; damage or functionality status; cause; location; source,Damaged and non-functional are not equivalent and should remain separate statuses.,constrained,partial,"access_and_incidents.{schools,health_facilities,water_facilities,markets_disrupted} (power/comms MISSING #644)"
Impact,Service disruption,Number of people reported affected by disruption of essential services,"Extract the reported number of people whose access to water, healthcare, education, energy, markets, communications, transport, or another essential service was disrupted. Preserve the service type.",people,"Sector reports, situation reports, infrastructure assessments, official reports, and humanitarian updates",service type; disruption type; displacement status; location; source,People affected by several service disruptions may be counted more than once.,constrained,missing,MISSING #644 -> access_and_incidents.service_disruption_people
Capacities & Response,People targeted,Number of people targeted for assistance,Extract the number of people a sector's response plan aims to reach (the planned subset of people in need). Do not equate with need or with reached.,people,"HRP/HNO, cluster response plans, situation reports",sector; location; population group; displacement status; source,Targets differ from need and from reached; plans are revised mid-cycle.,existing-extra,covered,needs_and_funding.<sector>.people_targeted
Capacities & Response,Operational presence,Number of partner organisations delivering assistance,Extract the number of partner organisations delivering in-sector assistance (operational presence / 3W-4W).,organisations,"3W/4W matrices, cluster reports, situation reports",sector; location; source,Partner counting rules vary; presence is not the same as coverage.,existing-extra,covered,needs_and_funding.<sector>.operational_presence
Humanitarian Conditions,Sector severity,Sector-specific severity score,Extract the sector severity index (usually 1-5) where the report grades it.,index (1-5),"HNO, severity/JIAF assessments, situation reports",sector; location; source,Severity scales and frameworks differ; not comparable across methods.,existing-extra,covered,needs_and_funding.<sector>.severity_score
Capacities & Response,Funding,Funding required (USD),Extract the stated funding requirement for the sector or the overall appeal.,USD,"HRP/flash appeals, FTS, situation reports",sector; overall; source,Requirements are revised within an appeal cycle.,existing-extra,covered,needs_and_funding.(<sector>_funding_required_usd | overall_funding_required_usd)
Capacities & Response,Funding,Funding received (USD),Extract the stated funding received or committed against the requirement.,USD,"FTS, donor reports, situation reports",sector; overall; source,"Commitments, pledges, and disbursements are often conflated.",existing-extra,covered,needs_and_funding.(<sector>_funding_received_usd | overall_funding_received_usd)
Displacement,Displacement flow,Displacement flow (origin to destination),Extract a displacement magnitude for a named origin->destination pair (both endpoints stated).,people,"Displacement flow monitoring, DTM, situation reports",origin; destination; source,Flows and stock/new-displacement counts must not be double-counted.,existing-extra,covered,displacement.flows
Humanitarian Access,Security incidents,Number of security incidents,"Extract the total number of security incidents in the reporting window, and by type where stated.",incidents,"INSO/ACLED, access reports, situation reports",incident type; location; source,Incident definitions and inclusion thresholds vary across sources.,existing-extra,covered,access_and_incidents.security_incidents_count (+ incidents_by_type)
Capacities & Response,Aid worker security,Number of aid workers killed,Extract the number of humanitarian/aid workers killed in connection with the crisis.,people,"AWSD, security reports, situation reports",organisation type; location; source,National vs international staff distinctions; under-reporting.,existing-extra,covered,access_and_incidents.aid_workers_killed
Capacities & Response,Aid worker security,Number of aid workers injured,Extract the number of humanitarian/aid workers injured in connection with the crisis.,people,"AWSD, security reports, situation reports",organisation type; location; source,National vs international staff distinctions; under-reporting.,existing-extra,covered,access_and_incidents.aid_workers_injured
Capacities & Response,Aid worker security,Number of aid workers abducted,Extract the number of humanitarian/aid workers abducted or detained in connection with the crisis.,people,"AWSD, security reports, situation reports",organisation type; location; source,Abduction vs detention definitions differ.,existing-extra,covered,access_and_incidents.aid_workers_abducted
Humanitarian Conditions,Food security,Food insecurity classification (IPC/CH phase),"Extract the IPC/CH classification phase, or the population in each phase, where the report states it.",phase or people,"IPC/CH reports, food security assessments",phase; location; source,"IPC rounds, areas, and reference periods differ.",existing-extra,covered,narrative_and_confidence.sector_indicators[IPC phase]
Humanitarian Conditions,Nutrition,Acute malnutrition rate (GAM/SAM),Extract the global or severe acute malnutrition rate where the report states it.,%,"SMART surveys, nutrition assessments",GAM vs SAM; sex; age group; location; source,Survey methods and reference periods differ.,existing-extra,covered,narrative_and_confidence.sector_indicators[GAM/SAM rate]
Humanitarian Conditions,Health,Disease outbreak cases,"Extract the number of cases of a disease outbreak (e.g. cholera, measles) where stated.",cases,"Health cluster/WHO reports, surveillance",disease; case status; location; source,Suspected vs confirmed cases; surveillance coverage varies.,existing-extra,covered,narrative_and_confidence.sector_indicators[disease cases]
Capacities & Response,Health,Immunisation coverage,Extract a stated immunisation/vaccination coverage rate.,%,"Health cluster reports, campaign reports",antigen; location; source,Coverage denominators and campaign scopes differ.,existing-extra,covered,narrative_and_confidence.sector_indicators[immunisation coverage]
Humanitarian Conditions,Education,Out-of-school children,Extract the number of out-of-school children where the report states it.,children,"Education cluster reports, assessments",sex; age group; location; source,Out-of-school definitions differ.,existing-extra,covered,narrative_and_confidence.sector_indicators[out-of-school children]
Humanitarian Conditions,WASH,Water access rate,Extract a stated water-access rate or share of population with access to safe water.,%,"WASH cluster reports, assessments",location; source,Access definitions and service levels differ.,existing-extra,covered,narrative_and_confidence.sector_indicators[water access rate]
Humanitarian Conditions,WASH,Latrine/sanitation coverage,Extract a stated latrine or sanitation coverage rate.,%,"WASH cluster reports, assessments",location; source,Coverage definitions differ.,existing-extra,covered,narrative_and_confidence.sector_indicators[latrine coverage]
Report Metadata,Reporting period,Reporting period covered,Extract the earliest and latest dates the report describes events for (not the publication date).,date range,The report itself,source,Reporting periods are often implicit or vague.,existing-extra,metadata,timing_and_scope.reporting_period_start / _end
Report Metadata,Geographic scope,Locations covered,"Extract every distinct place the report discusses (pcode where cited, else name + admin level).",locations,The report itself,admin level; source,Place names resolve ambiguously across gazetteers.,existing-extra,metadata,timing_and_scope.locations
Report Metadata,Hazard scope,Event / hazard types,"Extract the hazard/event types the report covers, from the disaster-types taxonomy.",category,The report itself,source,Off-taxonomy tags are dropped to protect incident keys.,existing-extra,metadata,timing_and_scope.event_types
Report Metadata,Cluster scope,Active clusters,Extract the OCHA humanitarian clusters explicitly named as active.,category,The report itself,source,Named-active vs merely-mentioned clusters differ.,existing-extra,metadata,timing_and_scope.active_clusters
Report Metadata,Summary,Brief narrative summary,"A 2-4 sentence prose summary of the report (country, hazards, headline numbers, access context).",text,The report itself,non-aggregatable,Not combined across reports.,existing-extra,metadata,narrative_and_confidence.brief_summary
Report Metadata,Confidence,Overall confidence tier,The report's overall confidence tier (verified/reported/estimated/media/unverified).,category,The report itself,non-aggregatable,Assessor-dependent.,existing-extra,metadata,narrative_and_confidence.overall_confidence
Report Metadata,Credibility,Information credibility (6 criteria),"Document-level information-credibility scored on six criteria (met/partial/unmet), feeding the data-quality score.",score (0-10),The report itself,per-figure overrides; source,Neutral 0.5 default when a criterion is unrated.,existing-extra,metadata,narrative_and_confidence.information_credibility
